No,名前,画面ID,ソフィア開発環境,検証環境3URL,本番用URL
1,サイトマップ,mspf1369,http://msp2.sophia-s.co.jp/sp/mspf1369.html,https://www3.test-mitsui-shopping-park.com/ec/sp/sitemap?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/sitemap?uiel=Mobile
2,ご利用規約,mspf1373,http://msp2.sophia-s.co.jp/sp/mspf1373.html,https://www3.test-mitsui-shopping-park.com/ec/sp/terms?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/terms?uiel=Mobile
3,特定商取引法に基づく表示,mspf1375,http://msp2.sophia-s.co.jp/sp/mspf1375.html,https://www3.test-mitsui-shopping-park.com/ec/sp/torihikihou?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/torihikihou?uiel=Mobile
4,&mallのお得な使い方,mspf1377,http://msp2.sophia-s.co.jp/sp/mspf1377.html,https://www3.test-mitsui-shopping-park.com/ec/sp/guide?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/guide?uiel=Mobile
5,よくある質問／トップページ,mspf1378,http://msp2.sophia-s.co.jp/sp/mspf1378.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq?uiel=Mobile
6,よくある質問／利用環境について,faq01_01,http://msp2.sophia-s.co.jp/sp/faq01_01.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq01_01?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq01_01?uiel=Mobile
7,よくある質問／閲覧履歴について,faq01_04,http://msp2.sophia-s.co.jp/sp/faq01_04.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq01_04?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq01_04?uiel=Mobile
8,よくある質問／禁則文字について,faq01_05,http://msp2.sophia-s.co.jp/sp/faq01_05.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq01_05?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq01_05?uiel=Mobile
9,よくある質問／特定商取引法について,faq01_06,http://msp2.sophia-s.co.jp/sp/faq01_06.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq01_06?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq01_06?uiel=Mobile
10,よくある質問／商品のサイズについて,faq02_01,http://msp2.sophia-s.co.jp/sp/faq02_01.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq02_01?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq02_01?uiel=Mobile
11,よくある質問／商品のサイズ表記について,faq02_02,http://msp2.sophia-s.co.jp/sp/faq02_02.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq02_02?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq02_02?uiel=Mobile
12,よくある質問／商品の価格について,faq02_03,http://msp2.sophia-s.co.jp/sp/faq02_03.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq02_03?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq02_03?uiel=Mobile
13,よくある質問／商品の在庫について,faq02_04,http://msp2.sophia-s.co.jp/sp/faq02_04.html,https://www3.test-mitsui-shopping-park.com/ec/sp/faq02_04?uiel=Mobile,https://mitsui-shopping-park.com/ec/sp/faq02_04?uiel=Mobile
